,Active Players (66),Pos.,Base Salary,Signing Bonus,Roster Bonus,Option Bonus,Workout Bonus,Restruc. Bonus,Misc.,Dead Cap,Cap Hit,Cap %
1015,Dede Westbrook ,WR,555000.0,169039.0,0.0,0.0,0.0,0.0,0.0,507117.0,724039.0,0.36
1016,James O'Shaughnessy ,TE,705000.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,714000.0,0.35
1017,Josh Lambo ,K,705000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705000.0,0.35
1018,Dexter McDougle ,CB,705000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705000.0,0.35
1019,Tyler Patmon ,CB,705000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705000.0,0.35
1020,Josh Walker ,G,705000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705000.0,0.35
1021,Jarrod Wilson ,S,630000.0,1668.0,0.0,0.0,0.0,0.0,0.0,1668.0,631668.0,0.31
1022,Deon King ,OLB,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.31
1023,Ben Koyack ,TE,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.31
1024,Chris Reed ,T,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.31
1025,Blair Brown ,OLB,555000.0,73678.0,0.0,0.0,0.0,0.0,0.0,221037.0,628678.0,0.31
1026,Jalen Myrick ,CB,555000.0,23416.0,0.0,0.0,0.0,0.0,0.0,70250.0,578416.0,0.29
1027,Keelan Cole ,WR,555000.0,1333.0,0.0,0.0,0.0,0.0,0.0,2667.0,556333.0,0.28
1028,Eli Ankou ,DT,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.28
1029,Colin Holba ,LS,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.28
1030,Kapron Lewis-Moore ,DE,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.28
1031,Jaydon Mickens ,WR,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.28
1032,Donald Payne ,ILB,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.28
1033,Carroll Phillips ,OLB,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.28
1034,Tevaun Smith ,WR,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.28
1035,Brandon Thomas ,G,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.28
1036,Brandon Wilds ,RB,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.28
1037,Shane Wynn ,WR,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.28
1038,Lamar Atkins ,WR,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.24
1039,Tim Cook ,RB,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.24
1040,Hunter Dimick ,DE,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.24
1041,Brooks Ellis ,OLB,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.24
1042,Avery Gennesy ,T,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.24
1043,David Grinnage ,TE,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.24
1044,Charlie Miller ,S,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.24
1045,Sammy Seamster ,CB,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.24
1047,Justin Houston ,OLB,14750000.0,4100000.0,0.0,0.0,250000.0,1500000.0,0.0,12700000.0,20600000.0,11.65
1048,Eric Fisher ,LT,11150000.0,2550000.0,0.0,0.0,250000.0,0.0,0.0,21934046.0,13950000.0,7.89
1049,Eric Berry ,FS,8900000.0,4000000.0,0.0,0.0,100000.0,0.0,0.0,27850000.0,13000000.0,7.35
1050,Travis Kelce ,TE,6800000.0,1968400.0,937500.0,0.0,250000.0,0.0,0.0,12705200.0,9955900.0,5.63
1051,Dee Ford ,OLB,8718000.0,0.0,0.0,0.0,0.0,0.0,0.0,8718000.0,8718000.0,4.93
1052,Allen Bailey ,DE,5400000.0,2000000.0,468750.0,0.0,100000.0,0.0,0.0,2000000.0,7968750.0,4.50
1053,Sammy Watkins ,WR,790000.0,7000000.0,0.0,0.0,10000.0,0.0,0.0,30000000.0,7800000.0,4.41
1054,Mitchell Schwartz ,RT,5700000.0,1400000.0,500000.0,0.0,100000.0,0.0,0.0,6540000.0,7700000.0,4.35
1055,Laurent Duvernay-Tardif ,G,3310000.0,2000000.0,0.0,0.0,50000.0,0.0,0.0,13563000.0,5360000.0,3.03
1056,Daniel Sorensen ,SS,3650000.0,1000000.0,100000.0,0.0,50000.0,0.0,500000.0,3000000.0,5300000.0,3.00
1057,Patrick Mahomes ,QB,1211627.0,2521506.0,0.0,0.0,0.0,0.0,0.0,7564520.0,3733133.0,2.11
1058,Anthony Hitchens ,ILB,790000.0,2800000.0,0.0,0.0,10000.0,0.0,0.0,21290000.0,3600000.0,2.04
1059,Chad Henne ,QB,1015000.0,1550000.0,0.0,0.0,40000.0,0.0,0.0,5115000.0,2605000.0,1.47
1060,Demetrius Harris ,TE,1850000.0,200000.0,200000.0,0.0,50000.0,0.0,0.0,400000.0,2300000.0,1.30
1061,Chris Conley ,WR,1882000.0,178110.0,0.0,0.0,25000.0,0.0,0.0,178110.0,2085110.0,1.18
1062,Steven Nelson ,CB,1897000.0,145488.0,0.0,0.0,10000.0,0.0,0.0,145488.0,2052488.0,1.16
1063,Charcandrick West ,RB,1450000.0,333334.0,203125.0,0.0,50000.0,0.0,0.0,333334.0,2036459.0,1.15
1064,Rakeem Nunez-Roches ,DE,1907000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1907000.0,1.08
1065,David Amerson ,CB,1000000.0,500000.0,234372.0,0.0,125000.0,0.0,0.0,500000.0,1859372.0,1.05
1066,Spencer Ware ,RB,1450000.0,333334.0,0.0,0.0,50000.0,0.0,0.0,333334.0,1833334.0,1.04
1067,Cameron Erving ,G,1720781.0,0.0,0.0,0.0,0.0,0.0,0.0,1720781.0,1720781.0,0.97
1068,Dustin Colquitt ,P,1015000.0,650000.0,0.0,0.0,45000.0,0.0,0.0,2965000.0,1710000.0,0.97
1069,Chris Jones ,DE,916476.0,682950.0,0.0,0.0,100000.0,0.0,0.0,1365901.0,1699426.0,0.96
1070,Mitch Morse ,C,1047239.0,414651.0,0.0,0.0,25000.0,0.0,0.0,414651.0,1486890.0,0.84
1071,Bryan Witzmann ,G,1180000.0,100000.0,0.0,0.0,30000.0,0.0,0.0,100000.0,1310000.0,0.74
1072,Frank Zombo ,OLB,920000.0,166668.0,150000.0,0.0,40000.0,0.0,0.0,166668.0,1276668.0,0.72
1073,Tanoh Kpassagnon ,DE,661419.0,320676.0,0.0,0.0,0.0,0.0,0.0,1623450.0,982095.0,0.56
1074,Reggie Ragland ,ILB,981034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981034.0,0.55
1075,James Winchester ,LS,720000.0,0.0,0.0,0.0,10000.0,100000.0,0.0,400000.0,830000.0,0.47
1076,Orson Charles ,FB,790000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790000.0,0.45
1077,Parker Ehinger ,G,630000.0,150727.0,0.0,0.0,9000.0,0.0,0.0,301456.0,789727.0,0.45
1078,Eric Murray ,CB,630000.0,149950.0,0.0,0.0,9000.0,0.0,0.0,299903.0,788950.0,0.45
1079,Kareem Hunt ,RB,575250.0,193988.0,0.0,0.0,9000.0,0.0,0.0,581964.0,778238.0,0.44
1080,Demarcus Robinson ,WR,630000.0,129293.0,0.0,0.0,9000.0,0.0,0.0,258586.0,768293.0,0.43
1081,Jordan Devey ,G,790000.0,90000.0,0.0,0.0,0.0,0.0,0.0,90000.0,720000.0,0.41
1082,Jarvis Jenkins ,DE,790000.0,90000.0,0.0,0.0,0.0,0.0,0.0,590000.0,720000.0,0.41
1083,De'Anthony Thomas ,WR,790000.0,90000.0,0.0,0.0,0.0,0.0,0.0,90000.0,720000.0,0.41
1084,Akeem Hunt ,RB,705000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705000.0,0.40
1085,T.Y. McGill ,DT,705000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705000.0,0.40
1086,Keith Reaser ,CB,705000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705000.0,0.40
1087,Tyreek Hill ,WR,630000.0,17500.0,48496.0,0.0,9000.0,0.0,0.0,35000.0,704996.0,0.40
1088,Jehu Chesson ,WR,555000.0,104912.0,0.0,0.0,9000.0,0.0,0.0,314736.0,668912.0,0.38
1089,Kendall Fuller ,CB,647500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647500.0,0.37
1090,Stefan Charles ,DT,790000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.36
1091,Jace Amaro ,TE,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.36
1092,Tyrone Holmes ,DE,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.36
1093,Sheldon Price ,CB,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.36
1094,Mike Purcell ,DT,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.36
1095,Terrance Smith ,ILB,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.36
1096,Ukeme Eligwe ,ILB,555000.0,50484.0,0.0,0.0,9000.0,0.0,0.0,151453.0,614484.0,0.35
1097,Dadi Nicolas ,OLB,555000.0,30803.0,0.0,0.0,9000.0,0.0,0.0,61607.0,594803.0,0.34
1098,Daniel Braverman ,WR,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.31
1099,Harrison Butker ,K,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.31
1100,Makinton Dorleant ,CB,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.31
1101,Dillon Gordon ,TE,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.31
1102,Justin Hamilton ,DT,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.31
1103,Kaleb Johnson ,T,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.31
1104,Leon McQuay III ,S,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.31
1105,Ashton Lampkin ,CB,480000.0,4000.0,0.0,0.0,0.0,0.0,0.0,8000.0,484000.0,0.27
1106,Devin Chappell ,CB,480000.0,2666.0,0.0,0.0,0.0,0.0,0.0,5334.0,482666.0,0.27
1107,Josh Augusta ,DT,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.27
1108,Gehrig Dieter ,WR,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.27
1109,Anthony Firkser ,RB,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.27
1110,Prince Charles Iworah ,CB,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.27
1111,Marcus Kemp ,WR,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.27
1112,Will Redmond ,CB,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.27
1113,Brandon Shippen ,S,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.27
1114,Andrew Wylie ,T,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.27
1115,Robert Golden ,FS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1116,Matt McGloin ,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1117,Anthony Sherman ,FB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1118,Nelson Spruce ,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1119,Xavier Williams ,DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1120,Damien Williams ,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1122,Philip Rivers ,QB,10000000.0,4500000.0,5000000.0,0.0,0.0,2500000.0,0.0,19000000.0,22000000.0,12.72
1123,Russell Okung ,LT,12000000.0,2500000.0,468750.0,0.0,0.0,0.0,0.0,19500000.0,14968750.0,8.65
1124,Melvin Ingram ,OLB,11250000.0,2625000.0,0.0,0.0,0.0,0.0,0.0,19125000.0,13875000.0,8.02
1125,Keenan Allen ,WR,7500000.0,1900000.0,0.0,0.0,250000.0,0.0,0.0,5700000.0,9650000.0,5.58
1126,Corey Liuget ,DT,8000000.0,1500000.0,0.0,0.0,0.0,0.0,0.0,3000000.0,9500000.0,5.49
1127,Jason Verrett ,CB,8526000.0,0.0,0.0,0.0,0.0,0.0,0.0,8526000.0,8526000.0,4.93
1128,Joey Bosa ,DE,630000.0,4254306.0,2172153.0,0.0,0.0,0.0,0.0,15288995.0,7056459.0,4.08
1129,Travis Benjamin ,WR,5750000.0,1250000.0,0.0,0.0,0.0,0.0,0.0,2500000.0,7000000.0,4.05
